PyramidalLevels,Load,Preproc,Convert,Lvl1_total,Lvl1_load,Lvl1_exec,Lvl2_total,Lvl2_load,Lvl2_exec,Lvl3_total,Lvl3_load,Lvl3_exec,Lvl4_total,Lvl4_load,Lvl4_exec,RegSum,PyrTotal,PyrTotal_nosetup,FinalTransform,E2E,e2e_total_time_nosetup
4,5.60662,0.81342,0.000159918,0.0720408,0.00499003,0.0656067,0.0840697,0.00524491,0.0763384,0.16735,0.00536444,0.160142,0.784863,0.00944224,0.772916,1.10832,2.47369,1.11121,0.0437757,3.33104,1.96856
4,5.65915,0.794433,7.594e-05,0.0733592,0.0060914,0.0659032,0.0858482,0.00571773,0.0784606,0.171489,0.00611649,0.163348,0.787721,0.00949366,0.776457,1.11842,2.42769,1.12133,0.0407659,3.26296,1.95661
4,5.95762,0.79903,9.5729e-05,0.0730604,0.00535252,0.0661808,0.0852785,0.00537252,0.0782586,0.170538,0.00579441,0.163059,0.787275,0.00987546,0.775534,1.11615,2.45763,1.11922,0.0405137,3.29727,1.95885
4,5.71633,0.816032,8.575e-05,0.07087,0.00484659,0.0647419,0.0845599,0.00517518,0.0776117,0.169594,0.00557593,0.162557,0.791183,0.00922957,0.780178,1.11621,2.44007,1.11935,0.0398519,3.29604,1.97532
4,5.47894,0.824317,9.0509e-05,0.0719547,0.00492285,0.0654488,0.0843722,0.00519517,0.0774592,0.169846,0.0055876,0.162515,0.78544,0.00962266,0.774037,1.11161,2.44843,1.11452,0.0410198,3.31386,1.97995
4,5.56524,0.807313,0.000116839,0.0715589,0.00501786,0.0650525,0.0845971,0.00522115,0.0776572,0.169948,0.00560724,0.16264,0.785969,0.00932984,0.774859,1.11207,2.43605,1.11508,0.040028,3.28351,1.96253
4,6.31692,0.813635,0.000484884,0.0705391,0.00485842,0.0646191,0.0836875,0.00513907,0.076852,0.16697,0.00569653,0.159633,0.78482,0.00946555,0.773806,1.10602,2.44783,1.10858,0.0397163,3.30166,1.96242
4,5.94866,0.799231,0.000108279,0.0729939,0.0050755,0.0663577,0.0856068,0.00576212,0.0780882,0.170939,0.00621982,0.163022,0.78674,0.00981682,0.775087,1.11628,2.43099,1.11927,0.0425236,3.27286,1.96113
4,6.09816,0.810413,9.0789e-05,0.0716489,0.0050707,0.0652155,0.0848536,0.00528121,0.077869,0.170541,0.0056266,0.163101,0.786804,0.0095682,0.775446,1.11385,2.42468,1.11657,0.0402539,3.27543,1.96733
4,6.06641,0.784684,0.000110389,0.0699506,0.00541065,0.0633851,0.0835885,0.00550961,0.0764115,0.168541,0.00565022,0.161188,0.7891,0.0105626,0.776959,1.11118,2.46677,1.11458,0.0400198,3.29159,1.93939
4,5.64907,0.804225,7.8479e-05,0.0710607,0.00487571,0.064727,0.0821626,0.00544439,0.0752351,0.166538,0.00549497,0.15951,0.784559,0.00920661,0.773823,1.10432,2.45404,1.10671,0.040013,3.29836,1.95103
4,6.06677,0.807646,6.824e-05,0.0697117,0.00478205,0.0635518,0.0819247,0.0051441,0.0754361,0.167034,0.00545655,0.16032,0.787956,0.00946821,0.776648,1.10663,2.45334,1.10932,0.0402711,3.30132,1.9573
4,5.82948,0.818597,9.1268e-05,0.0658021,0.0044007,0.0613781,0.0794631,0.00456065,0.0748801,0.164614,0.00469216,0.159909,0.782507,0.00825277,0.774236,1.09239,2.47264,1.10912,0.0400671,3.33139,1.96788
4,6.20412,0.80632,9.4609e-05,0.0694997,0.00467317,0.0648141,0.0802934,0.00467027,0.0755996,0.164241,0.00494549,0.15927,0.781221,0.00897845,0.772224,1.09526,2.45884,1.09557,0.0401074,3.30536,1.94209
4,5.63226,0.806707,0.000182888,0.0684774,0.0043943,0.0640693,0.0817048,0.00469692,0.0769834,0.166625,0.00500041,0.161594,0.782409,0.00904799,0.773348,1.09922,2.43818,1.09951,0.039957,3.28502,1.94636
4,5.92416,0.811955,0.000116839,0.0692708,0.0044367,0.064822,0.0816549,0.00467652,0.0769554,0.167584,0.00507529,0.162485,0.784037,0.00966665,0.774343,1.10255,2.41937,1.10284,0.0407664,3.27221,1.95568
4,6.15921,0.810763,7.5869e-05,0.0695664,0.00447619,0.0650775,0.0822139,0.00467947,0.0775134,0.167007,0.00506515,0.16192,0.78285,0.0089063,0.773922,1.10164,2.41718,1.10191,0.0400544,3.26807,1.9528
4,5.77922,0.846524,0.000449196,0.0686123,0.00432675,0.0642735,0.0816619,0.00457101,0.0770692,0.164797,0.00493898,0.159827,0.783839,0.00888987,0.774936,1.09891,2.44348,1.09916,0.0407437,3.3312,1.98687
4,6.15741,0.806004,9.1939e-05,0.0692246,0.00475301,0.064459,0.0824775,0.00500693,0.0774506,0.167871,0.00543945,0.162409,0.78445,0.00976494,0.774662,1.10402,2.45446,1.10427,0.0411796,3.30173,1.95154
4,5.94121,0.838108,0.000185498,0.0659666,0.00433361,0.0616199,0.0796942,0.0049659,0.0747023,0.163896,0.00483951,0.159045,0.782421,0.00873428,0.773675,1.09198,2.43069,1.0922,0.0415191,3.3105,1.97202
4,5.95793,0.836232,0.000515955,0.0674544,0.0044251,0.0630147,0.0814131,0.00461114,0.0767785,0.165445,0.00496759,0.16045,0.780471,0.00946706,0.770982,1.09478,2.46101,1.09511,0.0395168,3.33727,1.97137
4,5.84183,0.816977,0.000148338,0.0690158,0.00451349,0.0644859,0.0820168,0.00505016,0.0769426,0.167459,0.00497734,0.162459,0.783383,0.00917858,0.774178,1.10187,2.41513,1.10215,0.0402861,3.27255,1.95956
4,5.94198,0.817095,7.4829e-05,0.0690245,0.0044117,0.0645972,0.0817027,0.00467028,0.0770144,0.166842,0.00488092,0.161939,0.782899,0.00919343,0.773681,1.10047,2.44354,1.1007,0.0402625,3.30097,1.95814
4,5.56751,0.810391,0.000355797,0.0690789,0.00443218,0.0646344,0.0815847,0.00458034,0.0769831,0.164403,0.00491736,0.159462,0.782804,0.00875956,0.77403,1.09787,2.44851,1.09815,0.0404301,3.29969,1.94932
4,5.94423,0.825531,0.000539795,0.0684133,0.00438214,0.0640057,0.0806037,0.00461958,0.0759619,0.16381,0.00478008,0.159015,0.780805,0.00903598,0.771757,1.09363,2.46082,1.09388,0.0405318,3.32742,1.96048
