PyramidalLevels,Load,Preproc,Convert,Lvl1_total,Lvl1_load,Lvl1_exec,Lvl2_total,Lvl2_load,Lvl2_exec,Lvl3_total,Lvl3_load,Lvl3_exec,Lvl4_total,Lvl4_load,Lvl4_exec,RegSum,PyrTotal,PyrTotal_nosetup,FinalTransform,E2E,e2e_total_time_nosetup
4,5.65635,0.790703,5.088e-05,0.0940084,0.0172531,0.0679989,0.0944978,0.00788795,0.0785315,0.17379,0.00803317,0.157876,0.797633,0.00827939,0.781096,1.15993,19.0672,19.0672,0.0375073,19.8954,19.8954
4,5.76535,0.790504,3.015e-05,0.0848974,0.00798666,0.068071,0.0947587,0.00809452,0.0786406,0.174097,0.00811282,0.158076,0.799564,0.00829011,0.782985,1.15332,18.9301,18.9301,0.0355321,19.7561,19.7561
4,5.75448,0.797633,8.566e-05,0.0845179,0.00751234,0.068413,0.09476,0.00815775,0.0782802,0.175236,0.00845105,0.158365,0.798137,0.00848225,0.781306,1.15265,18.9606,18.9606,0.0356683,19.7939,19.7939
4,5.63265,0.815304,4.376e-05,0.122362,0.0454724,0.0681129,0.0948225,0.00812794,0.0784945,0.175571,0.00863153,0.158263,0.798707,0.00869307,0.7815,1.19146,19.0103,19.0103,0.0348513,19.8605,19.8605
4,5.80049,0.813615,4.564e-05,0.0935781,0.0164503,0.0682793,0.0934241,0.00767715,0.0783882,0.171499,0.00761838,0.156257,0.801765,0.00757878,0.781411,1.16027,18.5705,18.5705,0.0346773,19.4188,19.4188
4,5.85814,0.798269,8.4019e-05,0.0846106,0.00763623,0.0680861,0.0948539,0.00821328,0.0782474,0.178387,0.00844487,0.161814,0.797834,0.00886939,0.780217,1.15569,18.8721,18.8721,0.0364073,19.7069,19.7069
4,5.72553,0.78818,2.528e-05,0.0859446,0.00803549,0.0688778,0.0952931,0.00830443,0.0784905,0.174775,0.0082575,0.158297,0.797955,0.00836839,0.781309,1.15397,19.0701,19.0701,0.0348485,19.8932,19.8932
4,5.8437,0.800519,5.5729e-05,0.0979747,0.0198895,0.0688243,0.0975173,0.0101644,0.0785036,0.175065,0.00850947,0.157866,0.801526,0.00849535,0.781178,1.17208,19.2052,19.2052,0.0342762,20.0401,20.0401
4,5.77408,0.799507,5.641e-05,0.0867819,0.00850141,0.0690057,0.0956564,0.008584,0.0784641,0.174734,0.00840934,0.157908,0.798358,0.00844473,0.781416,1.15553,19.032,19.032,0.0348995,19.8665,19.8665
4,5.65812,0.809398,7.967e-05,0.085652,0.00810339,0.0685131,0.0934556,0.00758494,0.0785335,0.174387,0.00751278,0.156622,0.800341,0.00770161,0.781274,1.15384,19.0613,19.0613,0.0379847,19.9088,19.9088
