PyramidalLevels,Load,Preproc,Convert,Lvl1_total,Lvl1_load,Lvl1_exec,Lvl2_total,Lvl2_load,Lvl2_exec,RegSum,PyrTotal,PyrTotal_nosetup,FinalTransform,E2E,e2e_total_time_nosetup
2,6.00803,1.80155,9.202e-05,0.120679,0.0334107,0.0872568,1.97732,0.0548399,1.92246,2.098,3.56119,2.09824,0.048941,5.41178,3.94882
2,5.87665,1.86193,9.0499e-05,0.11953,0.0332115,0.0863077,1.97076,0.0496142,1.92113,2.09029,3.58535,2.09049,0.0480942,5.49547,4.0006
2,6.01531,1.8652,8.9889e-05,0.119569,0.0331943,0.0863643,1.97081,0.0496059,1.92118,2.09038,3.56,2.09055,0.0471261,5.47241,4.00296
2,6.07486,1.77093,7.197e-05,0.119361,0.0332919,0.0860573,1.9682,0.04852,1.91965,2.08756,3.54773,2.08779,0.0460924,5.36482,3.90488
2,6.05253,1.86982,8.3769e-05,0.122295,0.0339562,0.088328,1.97023,0.0495103,1.92069,2.09252,3.54185,2.09271,0.0483547,5.46011,4.01097
2,5.93245,1.84096,0.000104169,0.123822,0.0351489,0.0886608,1.97837,0.0534176,1.92493,2.10219,3.55304,2.10244,0.0477464,5.44185,3.99125
2,6.04103,1.87141,8.1969e-05,0.122628,0.0346913,0.0879234,1.9724,0.0508406,1.92154,2.09503,3.53952,2.09524,0.0477458,5.45876,4.01447
2,6.01738,1.83578,8.0749e-05,0.118955,0.0329827,0.0859605,1.97038,0.0492194,1.92114,2.08934,3.5328,2.08952,0.0474092,5.41607,3.97279
2,6.051,1.83408,9.6399e-05,0.121553,0.034011,0.0875299,1.97452,0.0505682,1.92393,2.09607,3.54593,2.09627,0.0459548,5.42606,3.9764
2,6.05949,1.84015,6.6149e-05,0.119416,0.0331254,0.0862785,1.97085,0.0501568,1.92068,2.09027,3.57579,2.09048,0.0495505,5.46555,3.98024
2,6.03077,1.83152,0.000108179,0.11882,0.0330033,0.0858039,1.96951,0.0488399,1.92064,2.08833,3.55208,2.0885,0.0459151,5.42962,3.96604
2,6.0272,1.75903,8.3479e-05,0.123991,0.0348772,0.0891023,1.98627,0.0574246,1.92882,2.11026,3.56425,2.11057,0.0552169,5.37858,3.9249
2,6.07154,1.85134,0.000104419,0.119197,0.0330005,0.0861848,1.97083,0.0496789,1.92114,2.09003,3.54503,2.09025,0.0461475,5.44262,3.98783
